municipio,uf,codigo_ibge,nome_prefeito
Abadia de Goiás,GO,5200050,WANDER SARAIVA DE CARVALHO
Abadiânia,GO,5200100,ITAMAR VIEIRA GOMES
Acreúna,GO,5200134,CLAUDIOMAR CONTIN PORTUGAL
Adelândia,GO,5200159,EDSON VIEIRA DE PAULA
Água Fria de Goiás,GO,5200175,VIRGINIA ANGELICA SANTOS CASTRO
Água Limpa,GO,5200209,JOSÉ CARLOS GUIMARÃES FILHO
Águas Lindas de Goiás,GO,5200258,LUCAS DE CARVALHO ANTONIETTI
Alexânia,GO,5200308,WARLEY FERREIRA GOUVEIA
Aloândia,GO,5200506,RENATO BATISTA DA SILVA
Alto Horizonte,GO,5200555,DIOGO RODRIGUES DE SOUSA
Alto Paraíso de Goiás,GO,5200605,MARCUS ADILSON RINCO
Alvorada do Norte,GO,5200803,DAVID MOREIRA DE CARVALHO
Amaralina,GO,5200829,DÁSIO MARQUES FERREIRA
Americano do Brasil,GO,5200852,RAPHAEL DE OLIVEIRA CARVALHO
Amorinópolis,GO,5200902,GUSTAVO SILVA DE OLIVEIRA
Anápolis,GO,5201108,MARCIO AURELIO CORREA
Anhanguera,GO,5201207,MARCELO MARTINS DE PAIVA
Anicuns,GO,5201306,PAULO CÉSAR JOSÉ DO NASCIMENTO
Aparecida de Goiânia,GO,5201405,LEANDRO VILELA VELLOSO
Aparecida do Rio Doce,GO,5201454,EDY CARLOS GONÇALVES
Aporé,GO,5201504,LEONARDO DE MORAES CARVALHO
Araçu,GO,5201603,MILTON LEMES DE PAULA
Aragarças,GO,5201702,RICARDO GALVAO DE SOUSA
Aragoiânia,GO,5201801,WALDIR BATISTA RIOS
Araguapaz,GO,5202155,FRANCISCO DEURISTOM GONÇALVES DA SILVA
Arenópolis,GO,5202353,DELMIRO DE OLIVEIRA CANO
Aruanã,GO,5202502,ARLIRIO ANTUNES BARBOSA
Aurilândia,GO,5202601,MARIA APARECIDA MAGALHÃES FURTADO MACÊDO
Avelinópolis,GO,5202809,ANTONIO MARCOS BARBOSA
Baliza,GO,5203104,ILSON PEREIRA DE CARVALHO
Barro Alto,GO,5203203,ALVARO MACHADO DE FREITAS
Bela Vista de Goiás,GO,5203302,EURÍPEDES JOSÉ DO CARMO
Bom Jardim de Goiás,GO,5203401,EDIO NAVARINI
Bom Jesus de Goiás,GO,5203500,DANIEL VIEIRA RAMOS JUNIOR
Bonfinópolis,GO,5203559,LUCAS MOREIRA DE CARVALHO
Bonópolis,GO,5203575,DEOCLECIANO ARAUJO DE LIRA
Brazabrantes,GO,5203609,MARCIO ANTÔNIO MACHADO
Britânia,GO,5203807,MARIA DO DISTERRO DOS SANTOS
Buriti Alegre,GO,5203906,GARIBALDO FERREIRA DE SANTANA NETO
Buriti de Goiás,GO,5203939,ÁTILA RÚBIA DE DEUS
Buritinópolis,GO,5203962,MARCILENE BASTISTA DE BRITO COSTA
Cabeceiras,GO,5204003,JACO ISIDORO ROTTA
Cachoeira Alta,GO,5204102,MARCELO BATISTA DE PAULA
Cachoeira de Goiás,GO,5204201,MICHAEL PEREIRA DOS SANTOS
Cachoeira Dourada,GO,5204250,RODRIGO RODRIGUES ALMEIDA
Caçu,GO,5204300,KELSON SOUZA VILARINHO
Caiapônia,GO,5204409,ARGEMIRO RODRIGUES SANTOS NETO
Caldas Novas,GO,5204508,KLEBER LUIZ MARRA
Caldazinha,GO,5204557,SOLANGE MARIA GOUVEIA CASTRO
Campestre de Goiás,GO,5204607,ESMERALDO CORREIA GUIMARÂES
Campinaçu,GO,5204656,DOUGLAS ADYEL RIBEIRO DE FARIA
Campinorte,GO,5204706,CLEOMAR MARTINS DE ARAUJO
Campo Alegre de Goiás,GO,5204805,DOUGLAS GRUPIONI SERTÓRIO
Campo Limpo de Goiás,GO,5204854,GRACIELE MARTA DO NASCIMENTO
Campos Belos,GO,5204904,PABLO GEOVANNI MOREIRA BATISTA
Campos Verdes,GO,5204953,ROGÉRIO SOUZA QUEIROZ
Carmo do Rio Verde,GO,5205000,GERALDO DOS REIS OLIVEIRA
Castelândia,GO,5205059,EDNALDO ANDRADE MIGUEL
Catalão,GO,5205109,VELOMAR GONÇALVES RIOS
Caturaí,GO,5205208,ALEXANDRE TIAGO MOURA
Cavalcante,GO,5205307,VILMAR SOUZA COSTA
Ceres,GO,5205406,EDMARIO DE CASTRO BARBOSA
Cezarina,GO,5205455,VALTENIR GONÇALVES DA SILVA
Chapadão do Céu,GO,5205471,VINICIUS MARCONDES CAMARGO TERIN
Cidade Ocidental,GO,5205497,LUIZ GONZAGA VIANA FILHO
Cocalzinho de Goiás,GO,5205513,ALESSANDRO OTONE BARCELOS
Colinas do Sul,GO,5205521,ONOFRE APARECIDO PAULISTA
Córrego do Ouro,GO,5205703,DANILO MARCOS DOS SANTOS
Corumbá de Goiás,GO,5205802,FRANCISCO ALESSANDRO FERNANDES
Corumbaíba,GO,5205901,WISNER ARAÚJO DE ALMEIDA
Cristalina,GO,5206206,LUIS OTÁVIO BIAZOTO MASSA
Cristianópolis,GO,5206305,JULIANA IZABEL DE PAULA COSTA
Crixás,GO,5206404,ALLAN PAES XAVIER
Cromínia,GO,5206503,FERNANDO LUCAS CARDOSO
Cumari,GO,5206602,RAFAEL MEIRELLES DE MELO
Damianópolis,GO,5206701,DENI SANTANA RODRIGUES
Damolândia,GO,5206800,ROGERIO LABANCA NETO
Davinópolis,GO,5206909,VANUSA APARECIDA BENTO GOMES
Diorama,GO,5207105,ALTAMIRO JOSÉ DE LIMA
Doverlândia,GO,5207253,AMILCAR MACHADO PEREIRA JUNIOR
Edealina,GO,5207352,DOLORES CRISTINA LEANDRO NEVES
Edéia,GO,5207402,CARLA FARIA DE FREITAS
Estrela do Norte,GO,5207501,EDMAR DE ASSIS SILVA
Faina,GO,5207535,CREONIR BORGES DE OLIVEIRA
Fazenda Nova,GO,5207600,MARCUS VINICIUS AZEREDO COSTA
Firminópolis,GO,5207808,JOSE AIRTON DE OLIVEIRA
Flores de Goiás,GO,5207907,ALTRAN LOPES AVELAR NERY
Formosa,GO,5208004,SIMONE DIAS RIBEIRO DE MELO
Formoso,GO,5208103,HALISON MACÊDO DOS SANTOS
Gameleira de Goiás,GO,5208152,WIVVIANE DE CARVALHO DUARTE TELES
Divinópolis de Goiás,GO,5208301,ISTEINER ABREU ALVES DE OLIVEIRA
Goianápolis,GO,5208400,JEOVA LEITE CARDOSO
Goiandira,GO,5208509,ALLISON HENRIQUE BARBOSA PEIXOTO
Goianésia,GO,5208608,RENATO MENEZES DE CASTRO
Goiânia,GO,5208707,SANDRO DA MABEL ANTÔNIO SCODRO
Goianira,GO,5208806,CLEYTON AMARAL DAVID BENTO
Goiás,GO,5208905,ADERSON LIBERATO GOUVEA
Goiatuba,GO,5209101,ALBERTO LOPES RIBEIRO
Gouvelândia,GO,5209150,FAUSTO CAIADO BARBOSA
Guapó,GO,5209200,FRANK ESTEVAN FAUSTO DOS SANTOS OLIVEIRA
Guaraíta,GO,5209291,HEBER DE LIMA FERNANDES
Guarani de Goiás,GO,5209408,JANEZIO PEREIRA DA SILVA
Guarinos,GO,5209457,JJUNIO ANTONIO BARBOSA
Heitoraí,GO,5209606,ESMAEL PEREIRA DUARTE
Hidrolândia,GO,5209705,JOSÉ DÉLIO ALVES JÚNIOR
Hidrolina,GO,5209804,ELI GONÇALVES SIQUEIRA
Iaciara,GO,5209903,WAGNER NERY SAMPAIO
Inaciolândia,GO,5209937,CLÁUDIO HENRIQUE CAIXETA
Indiara,GO,5209952,MARCONI MACIEL DE MELO MATIAS
Inhumas,GO,5210000,JOSÉ ESSADO NETO
Ipameri,GO,5210109,JANIO PACHECO
Ipiranga de Goiás,GO,5210158,BALTAZAR LUIZ DA SILVA
Iporá,GO,5210208,MAYSA PERES CUNHA PEIXOTO
Israelândia,GO,5210307,ADELICIA MOURA DA COSTA
Itaberaí,GO,5210406,RITA DE CÁSSIA SOARES MENDONÇA
Itaguari,GO,5210562,HELIO MARCOS VIEIRA DE LIMA
Itaguaru,GO,5210604,JOAQUIM FERNANDO MOREIRA ARAÚJO
Itajá,GO,5210802,LUCAS MACHADO FERREIRA
Itapaci,GO,5210901,FABIO MARCOS DE OLIVEIRA
Itapirapuã,GO,5211008,CÁSSIO ROBERTO HILÁRIO DA SILVA
Itapuranga,GO,5211206,GERALDO PAULO FERNANDES
Itarumã,GO,5211305,LUIZ HENRIQUE DE ASSIS
Itauçu,GO,5211404,CLAYTON PEREIRA DE MELO
Itumbiara,GO,5211503,DIONE JOSE DE ARAUJO
Ivolândia,GO,5211602,VALDESSON VIEIRA JÚNIOR
Jandaia,GO,5211701,DANILO FERREIRA GOMES
Jaraguá,GO,5211800,PAULO VITOR AVELAR
Jataí,GO,5211909,GENEILTON FILHO DE ASSIS
Jaupaci,GO,5212006,EDVALDO BATISTA GUIMARÃES FILHO
Jesúpolis,GO,5212055,ADRIANO PEIXOTO OLIVEIRA
Joviânia,GO,5212105,MAX PEREIRA BARBOSA
Jussara,GO,5212204,MARIA IDALI DA SILVA BONTEMPO
Lagoa Santa,GO,5212253,ADIVAIR GONÇALVES DE MACEDO
Leopoldo de Bulhões,GO,5212303,ROBERTA CÂNDIDA CAETANO
Luziânia,GO,5212501,DIEGO VAZ SORGATTO
Mairipotaba,GO,5212600,LINDOMAR CLAUDINO BESSA
Mambaí,GO,5212709,EDER ORNELAS LACERDA
Mara Rosa,GO,5212808,FLAVIO DIVINO MAURICIO DE MOURA
Marzagão,GO,5212907,SOLIMAR CARDOSO DE SOUZA
Matrinchã,GO,5212956,IVÂNIA ALVES FERNANDES
Maurilândia,GO,5213004,WANDERVAL SILVA MARTINS
Mimoso de Goiás,GO,5213053,RAFAEL BRUNO MOREIRA DE ATAIDES
Minaçu,GO,5213087,CARLOS ALBERTO LEREIA DA SILVA
Mineiros,GO,5213103,ALEOMAR DE OLIVEIRA REZENDE
Moiporá,GO,5213400,WILSON JOSÉ FERREIRA
Monte Alegre de Goiás,GO,5213509,FELIPI DE SOUSA CAMPOS
Montes Claros de Goiás,GO,5213707,JOSE VILMAR MACIEL
Montividiu,GO,5213756,EDSON BUENO COUTINHO
Montividiu do Norte,GO,5213772,CLEMERSON LOPES DA SILVA
Morrinhos,GO,5213806,MAYCLLYN MAX CARREIRO RIBEIRO
Morro Agudo de Goiás,GO,5213855,DENY LELES APARECIDO ROSA
Mossâmedes,GO,5213905,MARTA MARIA CAETANO DE ALMEIDA CUNHA
Mozarlândia,GO,5214002,LUCIJANE FREIRES ALENCAR CARLOS DA SILVA
Mundo Novo,GO,5214051,MARLENE LOURENÇO
Mutunópolis,GO,5214101,LUIZ MARTINS DE OLIVEIRA
Nazário,GO,5214408,JOÃO BATISTA CARVALHO
Nerópolis,GO,5214507,LUIZ ALBERTO FRANCO ARAUJO
Niquelândia,GO,5214606,CARLOS EDUARDO MOREIRA
Nova América,GO,5214705,CLÉBER JUNIO DE SOUZA
Nova Aurora,GO,5214804,JOÃO PIMENTA DE PÁDUA JÚNOR
